name,current_status,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"ORTHOLIVE MEDICAL GROUP, PC",Good Standing,,2023-07-12,821 N ST STE 102,AK
"Pediatrix Medical Group of Florida, Inc.",Exists,,2017-01-26,,
"Desert Trauma Surgeons, A Medical Group, Inc",Exists,,2023-07-06,,
"PEDIATRIX MEDICAL GROUP OF ARKANSAS, P.A.",Good Standing,,1998-01-23,,
"Banner Medical Group Pediatric Sleep, LLC",Active,,2020-12-24,2901 N CENTRAL AVE SUITE 160,"Maricopa, AZ"
"Banner--University Medical Group Pediatric Sleep, LLC",Active,,2020-12-24,2901 N CENTRAL AVE SUITE 160,"Maricopa, AZ"
Specialty Pediatrics Medical Group PLLC,Active,,2021-06-21,22921 N 44TH PL,"Maricopa, AZ"
"Desert Trauma Surgeons, A Medical Group, Inc.",Active,,2023-08-02,1846 E. Innovation Park Dr. STE 100,"Pima, AZ"
"SACRAMENTO PLASTIC AND RECONSTRUCTIVE SURGERY MEDICAL GROUP, INC.",Active,,1969-04-01,95 SCRIPPS DRIVE,CA
"SACRAMENTO EAR, NOSE AND THROAT SURGICAL AND MEDICAL GROUP, INC.",Active,,1969-04-01,"1111 EXPOSITION BLVD. BLDG. 700, SUITE 100",CA
"ORANGE ORTHOPEDIC MEDICAL GROUP, INCORPORATED",Active,,1969-04-03,"1310 W STEWART DRIVE, SUITE 410",CA
"ORTHOPAEDIC SURGERY MEDICAL GROUP, INC.",Active,,1969-05-28,280 S MAIN ST STE 200,CA
"CARDIOLOGY INTERNAL MEDICAL GROUP, INC.",Active,,1969-06-05,1245 WILSHIRE BLVD STE 903,CA
"VALLEY PEDIATRIC MEDICAL GROUP, INC.",Active,,1969-06-10,5353 BALBOA BLVD STE 104,CA
"WEBSTER ORTHOPAEDIC MEDICAL GROUP, A PROFESSIONAL CORPORATION",Active,,1969-05-22,2625 SHADELANDS DRIVE,CA
"VENTURA ORTHOPEDICS MEDICAL GROUP, INC.",Active,,1969-05-26,3525 LOMA VISTA RD # A,CA
"DIABLO VALLEY PEDIATRIC MEDICAL GROUP, INC.",Active,,1969-08-15,"2299 BACON ST., STE 7",CA
"PEDIATRIC AFFILIATES MEDICAL GROUP, INC., A PROFESSIONAL CORPORATION",Active,,1969-08-28,504 SOUTH SIERRA MADRE BLVD,CA
"ANAHEIM CARDIOLOGY MEDICAL GROUP, INC.",Active,,1969-10-06,1735 W ROMNEYA DR.,CA
"SAN PEDRO PEDIATRIC MEDICAL GROUP, INC.",Active,,1969-09-25,"1294 W. 6TH STREET, SUITE 102",CA
"PEDIATRIC ASSOCIATES MEDICAL GROUP, INC.",Active,,1969-09-25,4330 FULTON AVE,CA
"PENINSULA PLASTIC SURGERY MEDICAL GROUP, INC.",Active,,1969-10-14,440 EL CERRITO AVE,CA
VASCULAR SURGERY ASSOCIATES MEDICAL GROUP A PROFESSIONAL CORPORATION,Active,,1970-05-04,8631 W 3RD ST STE 615E,CA
"SAN MATEO ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1970-08-19,"100 S ELLSWORTH AVE, STE 301",CA
"COAST HEMATOLOGY-ONCOLOGY ASSOCIATES MEDICAL GROUP, INC.",Active,,1970-09-15,701 E 28TH ST STE 418,CA
HEMATOLOGY-ONCOLOGY MEDICAL GROUP OF ORANGE COUNTY,Active,,1970-10-15,1010 W LA VETA SUITE 200,CA
"SOUTHLAND NEUROLOGIC ASSOCIATES, A MEDICAL GROUP, INC.",Active,,1971-02-08,3747 WORSHAM AVE STE%23100,CA
"DIABLO NEUROSURGICAL MEDICAL GROUP, INC.",Active,,1971-04-15,122 LA CASA VIA STE 222,CA
"NORTHERN CALIFORNIA RADIATION THERAPISTS AND ONCOLOGISTS MEDICAL GROUP, INC., A CALIFORNIA PROFESSIONAL CORPORATION",Active,,1971-07-12,2333 BUCHANAN STREET,CA
"SOUTH EAST BAY PEDIATRIC MEDICAL GROUP, INC.",Active,,1971-07-15,2191 MOWRT AVE STE 600C,CA
"CONEJO NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1971-07-01,1001 NEWBURY RD.,CA
"SAN FRANCISCO CARDIOVASCULAR SURGEONS MEDICAL GROUP, INC.",Active,,1971-07-27,"2250 HAYES STREET, #204",CA
"NORTH COUNTY ORTHOPEDIC MEDICAL GROUP, INC.",Active,,1971-08-06,8929 UNIVERSITY CENTER LANE #100,CA
"SAN FERNANDO VALLEY NEUROLOGICAL MEDICAL GROUP, INC.",Active,,1971-08-13,18370 BURBANK BLVD  #107,CA
"WESTERN NEUROSURGICAL MEDICAL GROUP, INC.",Active,,1971-10-01,2963 CUESTA WAY,CA
