name,current_status,jurisdiction_code,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"Gayla's Surf and Sauna, LLC",Removed,us_ak,,2016-03-31,"628 HAIDA STREET, YAKUTAT, AK 99689",
"Sauna Hill, Limited Partnership",Good Standing,us_ak,,2018-12-18,505 OLD STEESE HWY STE 122,AK
The Modern Bathhouse LLC,Non Compliant,us_ak,,2020-10-28,5901 E 6TH AVE SPC 282,AK
Sitka Sauna Rentals L.L.C.,Good Standing,us_ak,,2020-11-28,"2003 CASCADE CREEK RD., 2003 CASCADE CREEK RD.",AK
"Alaska Mobile Sauna, LLC",Good Standing,us_ak,,2021-03-15,"3016 W 31ST AVE, ANCHORAGE",AK
Banya LLC,Non Compliant,us_ak,,2022-03-09,202 E NORTHERN LIGHTS BLVD202,AK
"The Ice Sauna, LLC",Good Standing,us_ak,,2022-12-22,705 KNIGHTSBRIDGE RD.,AK
HANSON SAUNAS LLC,Good Standing,us_ak,,2023-10-24,37024 DENISE LAKE DRIVE,AK
LAGOM SAUNA COMMUNITY CO.,Good Standing,us_ak,,2023-11-13,441 W 5TH AVE SUITE 405 #185,AK
Seward Saunas LLC,Good Standing,us_ak,,2023-12-11,10867 WOLF TRAIL CIRCLE,AK
Santa's Saunas LLC,Good Standing,us_ak,,2024-01-27,953 LAKE DRIVE,AK
"New Sauna Therapy, LLC.",Involuntarily Dissolved,us_ak,,2010-01-16,"5951 Montgomery St., Juneau, AK 99801",
"INFRA-RED SAUNAS OF ALASKA, LLC",Involuntarily Dissolved,us_ak,,2002-01-02,,
"OCEAN SAUNA, LLC",Dissolved,us_al,,2012-01-18,,
"Ocean Sauna, LLC",Exists,us_al,,2012-07-23,,
"Southland Spa and Sauna, Inc.",Dissolved,us_al,,1985-10-25,,
"Sunrise Spa and Sauna, Inc.",Exists,us_al,,1987-01-16,,
Rainbow Sauna and Massage LLC,Dissolved,us_al,,2014-08-04,,
"FOL Sauna Studio, LLC",Exists,us_al,,2019-10-04,,
